Family	Mapped	Family_name	Genes	Molecular_function	Bio_process	Cell_component	Protein_class	Interpro
PTHR43140:SF1	VIBCH|EnsemblGenome=VC_1768|UniProtKB=Q9KR75	TYPE-1 RESTRICTION ENZYME ECOKI SPECIFICITY PROTEIN	20	DNA binding(GO:0003677)				
PTHR43976:SF16	VIBCH|EnsemblGenome=VC_0979|UniProtKB=Q9KTC3	SUBFAMILY NOT NAMED	19					
PTHR32089:SF33	"VIBCH|EnsemblGenome=VC_A0974|UniProtKB=Q9KKX6,VIBCH|EnsemblGenome=VC_A0068|UniProtKB=Q9KN97,VIBCH|EnsemblGenome=VC_0825|UniProtKB=P0C6D8"	SUBFAMILY NOT NAMED	11					
PTHR13748:SF46	VIBCH|EnsemblGenome=VC_A0527|UniProtKB=Q9KM61	ZINC-BINDING GTPASE YEIR	17					
PTHR30093:SF2	"VIBCH|EnsemblGenome=VC_0858|UniProtKB=Q9KTP3,VIBCH|EnsemblGenome=VC_2423|UniProtKB=Q9KPE5,VIBCH|EnsemblGenome=VC_0411|UniProtKB=Q9KUV2,VIBCH|EnsemblGenome=VC_0828|UniProtKB=Q60153"	PREPILIN PEPTIDASE-DEPENDENT PROTEIN D	102		cellular process(GO:0009987);localization(GO:0051179);locomotion(GO:0040011)	cell projection(GO:0042995);cytosol(GO:0005829)		
PTHR14969:SF50	"VIBCH|EnsemblGenome=VC_A0035|UniProtKB=Q9KND0,VIBCH|EnsemblGenome=VC_2488|UniProtKB=Q9KP85"	SUBFAMILY NOT NAMED	38					
PTHR45663:SF11	VIBCH|EnsemblGenome=VC_A0752|UniProtKB=Q9KLJ2	GEO12009P1	73	disulfide oxidoreductase activity(GO:0015036)	cellular homeostasis(GO:0019725);regulation of cellular process(GO:0050794)	cytoplasm(GO:0005737)	oxidoreductase(PC00176)	
PTHR22789:SF8	VIBCH|EnsemblGenome=VC_A0244|UniProtKB=Q9KMS6	L-RIBULOSE-5-PHOSPHATE 4-EPIMERASE SGBE	10	lyase activity(GO:0016829)	monosaccharide metabolic process(GO:0005996);organic substance catabolic process(GO:1901575);small molecule catabolic process(GO:0044282)	cytosol(GO:0005829)	epimerase/racemase(PC00096)	
PTHR30448:SF0	VIBCH|EnsemblGenome=VC_2532|UniProtKB=Q9KP47	RNASE ADAPTER PROTEIN RAPZ	27					
PTHR43693:SF1	VIBCH|EnsemblGenome=VC_2064|UniProtKB=Q9KQD6	PROTEIN PHOSPHATASE CHEZ	17	kinase activity(GO:0016301)			amino acid kinase(PC00045)	
PTHR11102:SF147	VIBCH|EnsemblGenome=VC_1194|UniProtKB=Q9KSR2	SEL1L ERAD E3 LIGASE ADAPTOR SUBUNIT	83					
PTHR38149:SF1	VIBCH|EnsemblGenome=VC_A0786|UniProtKB=Q9KLF8	SUBFAMILY NOT NAMED	9	RNA binding(GO:0003723)	RNA metabolic process(GO:0016070);regulation of biological process(GO:0050789)			
PTHR30175:SF7	VIBCH|EnsemblGenome=VC_A0653|UniProtKB=Q9KLT8	SUBFAMILY NOT NAMED	7		carbohydrate transmembrane transport(GO:0034219);phosphoenolpyruvate-dependent sugar phosphotransferase system(GO:0009401)	plasma membrane(GO:0005886)	carbohydrate kinase(PC00065);carbohydrate transporter(PC00067)	
PTHR43493:SF5	VIBCH|EnsemblGenome=VC_1258|UniProtKB=Q9KSJ8	DNA GYRASE SUBUNIT A	40	"ATP binding(GO:0005524);DNA binding(GO:0003677);DNA-dependent ATPase activity(GO:0008094);catalytic activity, acting on DNA(GO:0140097)"	DNA conformation change(GO:0071103);DNA metabolic process(GO:0006259)	cytoplasm(GO:0005737);protein-containing complex(GO:0032991)	DNA topoisomerase(PC00017);enzyme modulator(PC00095);isomerase(PC00135)	
PTHR11921:SF38	VIBCH|EnsemblGenome=VC_2088|UniProtKB=Q9KQB2	SUCCINATE DEHYDROGENASE IRON-SULFUR SUBUNIT	23		aerobic respiration(GO:0009060);respiratory electron transport chain(GO:0022904)		dehydrogenase(PC00092)	
PTHR36582:SF2	VIBCH|Gene=VC_A0360.1|UniProtKB=P58093	SUBFAMILY NOT NAMED	11					
PTHR12526:SF565	VIBCH|EnsemblGenome=VC_0259|UniProtKB=H9L4P1	SUBFAMILY NOT NAMED	3	"transferase activity, transferring glycosyl groups(GO:0016757)"	metabolic process(GO:0008152)			
PTHR47781:SF1	VIBCH|EnsemblGenome=VC_0879|UniProtKB=Q9KTM3	50S RIBOSOMAL PROTEIN L36 2	10					
PTHR10073:SF12	VIBCH|EnsemblGenome=VC_0345|UniProtKB=Q9KV13	DNA MISMATCH REPAIR PROTEIN MLH1	157	ATPase activity(GO:0016887)	mismatch repair(GO:0006298)	intracellular part(GO:0044424);protein-containing complex(GO:0032991)	DNA binding protein(PC00009)	
PTHR11468:SF25	VIBCH|EnsemblGenome=VC_A0013|UniProtKB=Q9KNF1	MALTODEXTRIN PHOSPHORYLASE	3	"anion binding(GO:0043168);cofactor binding(GO:0048037);drug binding(GO:0008144);heterocyclic compound binding(GO:1901363);organic cyclic compound binding(GO:0097159);small molecule binding(GO:0036094);transferase activity, transferring hexosyl groups(GO:0016758)"	cellular catabolic process(GO:0044248);glycogen metabolic process(GO:0005977);macromolecule catabolic process(GO:0009057)	cytoplasm(GO:0005737)		
PTHR42711:SF5	VIBCH|EnsemblGenome=VC_0589|UniProtKB=Q9KUD3	SUBFAMILY NOT NAMED	36	"ATPase activity, coupled to transmembrane movement of substances(GO:0042626)"	amino acid transport(GO:0006865);carbohydrate metabolic process(GO:0005975);carbohydrate transport(GO:0008643);cellular amino acid metabolic process(GO:0006520);phosphate-containing compound metabolic process(GO:0006796)		ATP-binding cassette (ABC) transporter(PC00003)	
PTHR34047:SF2	VIBCH|EnsemblGenome=VC_2385|UniProtKB=Q9KPI3	SUBFAMILY NOT NAMED	30					
PTHR43340:SF1	VIBCH|EnsemblGenome=VC_0585|UniProtKB=Q9KUD7	HYPOXANTHINE PHOSPHORIBOSYLTRANSFERASE	93	"magnesium ion binding(GO:0000287);transferase activity, transferring pentosyl groups(GO:0016763)"	nucleobase-containing small molecule biosynthetic process(GO:0034404);purine nucleobase biosynthetic process(GO:0009113);purine ribonucleoside monophosphate biosynthetic process(GO:0009168);purine ribonucleotide biosynthetic process(GO:0009152)		glycosyltransferase(PC00111);mutase(PC00160)	
PTHR16821:SF2	VIBCH|EnsemblGenome=VC_0123|UniProtKB=Q9KVL8	"FRATAXIN, MITOCHONDRIAL"	97					
PTHR42839:SF2	VIBCH|EnsemblGenome=VC_0773|UniProtKB=O07898	ISOCHORISMATE SYNTHASE ENTC	6	intramolecular transferase activity(GO:0016866)	aromatic compound biosynthetic process(GO:0019438);carboxylic acid biosynthetic process(GO:0046394);drug metabolic process(GO:0017144);hormone biosynthetic process(GO:0042446);monocarboxylic acid metabolic process(GO:0032787);organic cyclic compound biosynthetic process(GO:1901362);organic hydroxy compound biosynthetic process(GO:1901617)			
PTHR43097:SF5	VIBCH|EnsemblGenome=VC_0997|UniProtKB=Q9KTA6	"GLUTAMATE--TRNA LIGASE, CYTOPLASMIC"	96	"catalytic activity, acting on RNA(GO:0140098);ligase activity(GO:0016874)"	cellular amino acid metabolic process(GO:0006520);formation of translation initiation ternary complex(GO:0001677);tRNA metabolic process(GO:0006399);translational elongation(GO:0006414);translational termination(GO:0006415)	cytosol(GO:0005829)	ligase(PC00142)	
PTHR38786:SF1	VIBCH|EnsemblGenome=VC_2129|UniProtKB=Q9KQ72	FLAGELLAR FLIJ PROTEIN	8					
PTHR42865:SF2	VIBCH|EnsemblGenome=VC_1168|UniProtKB=Q9KST8	SUBFAMILY NOT NAMED	2			plasma membrane(GO:0005886)	cation transporter(PC00068)	
PTHR46229:SF1	VIBCH|EnsemblGenome=VC_2296|UniProtKB=Q9KPS0	DNA-BINDING TRANSCRIPTIONAL REGULATOR BOLA	13					
PTHR43386:SF1	VIBCH|EnsemblGenome=VC_0173|UniProtKB=Q9KVH3	SUBFAMILY NOT NAMED	42				transporter(PC00227)	
PTHR40613:SF1	VIBCH|EnsemblGenome=VC_A0163|UniProtKB=Q9KN03	SUBFAMILY NOT NAMED	6					
PTHR21621:SF0	VIBCH|EnsemblGenome=VC_1160|UniProtKB=Q9KSU6	BETA-CITRYLGLUTAMATE SYNTHASE B	31			cytoplasm(GO:0005737)	ribosomal protein(PC00202)	
PTHR30520:SF4	VIBCH|EnsemblGenome=VC_A0540|UniProtKB=Q9KM49	SUBFAMILY NOT NAMED	2	antibiotic transmembrane transporter activity(GO:0042895);monocarboxylic acid transmembrane transporter activity(GO:0008028);nitrate transmembrane transporter activity(GO:0015112);secondary active transmembrane transporter activity(GO:0015291)		integral component of plasma membrane(GO:0005887)		
PTHR43628:SF1	VIBCH|EnsemblGenome=VC_A1026|UniProtKB=Q9KKS4	PROTEIN DSF2	76	catalytic activity(GO:0003824);enzyme activator activity(GO:0008047)				
PTHR42801:SF4	VIBCH|EnsemblGenome=VC_2160|UniProtKB=Q9KQ44	"THIOREDOXIN-DEPENDENT PEROXIDE REDUCTASE, MITOCHONDRIAL"	136					
PTHR18968:SF13	VIBCH|EnsemblGenome=VC_2483|UniProtKB=Q9KP90	"ACETOLACTATE SYNTHASE CATALYTIC SUBUNIT, MITOCHONDRIAL"	123	lyase activity(GO:0016829);oxidoreductase activity(GO:0016491);transferase activity(GO:0016740)	carbohydrate metabolic process(GO:0005975);cellular amino acid biosynthetic process(GO:0008652);coenzyme metabolic process(GO:0006732)		decarboxylase(PC00089);dehydrogenase(PC00092);transferase(PC00220)	
PTHR35024:SF5	VIBCH|EnsemblGenome=VC_A1042|UniProtKB=Q9KKR0	SUBFAMILY NOT NAMED	4					
PTHR38025:SF1	VIBCH|EnsemblGenome=VC_0701|UniProtKB=Q9KU28	TRP OPERON REPRESSOR	8	sequence-specific DNA binding(GO:0043565)	"regulation of transcription, DNA-templated(GO:0006355);transcription, DNA-templated(GO:0006351)"		Trp repressor-like transcription factor(PC00247)	
PTHR34583:SF2	VIBCH|EnsemblGenome=VC_A0156|UniProtKB=Q9KN10	SUBFAMILY NOT NAMED	24					
PTHR43619:SF2	VIBCH|EnsemblGenome=VC_0091|UniProtKB=Q9KVQ0	SUBFAMILY NOT NAMED	12					
PTHR36926:SF1	VIBCH|EnsemblGenome=VC_1003|UniProtKB=Q9KTA0	COLICIN V PRODUCTION PROTEIN	12					
PTHR32319:SF3	VIBCH|EnsemblGenome=VC_A0582|UniProtKB=Q9KM07	SUBFAMILY NOT NAMED	14					
PTHR21371:SF1	VIBCH|EnsemblGenome=VC_0162|UniProtKB=Q9KVI4	"KETOL-ACID REDUCTOISOMERASE, MITOCHONDRIAL"	118	"hydro-lyase activity(GO:0016836);oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor(GO:0016616);transferase activity(GO:0016740)"	branched-chain amino acid biosynthetic process(GO:0009082)			
PTHR33794:SF1	VIBCH|EnsemblGenome=VC_A0865|UniProtKB=P24153	SUBFAMILY NOT NAMED	19				metalloprotease(PC00153)	
PTHR10871:SF1	VIBCH|EnsemblGenome=VC_2574|UniProtKB=Q9KP05	"37S RIBOSOMAL PROTEIN SWS2, MITOCHONDRIAL"	90			cytosol(GO:0005829)		
PTHR23547:SF1	VIBCH|EnsemblGenome=VC_1071|UniProtKB=Q9KT34	SUBFAMILY NOT NAMED	6					
PTHR46732:SF5	VIBCH|EnsemblGenome=VC_2303|UniProtKB=Q9KPR3	ATP-DEPENDENT PROTEASE LA (LON) DOMAIN PROTEIN	55					
PTHR32308:SF0	VIBCH|EnsemblGenome=VC_0798|UniProtKB=Q9KTU0	CITRATE LYASE SUBUNIT BETA	42	magnesium ion binding(GO:0000287)	carboxylic acid metabolic process(GO:0019752)			
PTHR30505:SF30	VIBCH|EnsemblGenome=VC_1826|UniProtKB=Q9KR21	SUBFAMILY NOT NAMED	5		phosphoenolpyruvate-dependent sugar phosphotransferase system(GO:0009401)	plasma membrane(GO:0005886)		
PTHR43418:SF2	VIBCH|EnsemblGenome=VC_1173|UniProtKB=Q9KST3	BIFUNCTIONAL PROTEIN TRPGD	7	"lyase activity(GO:0016829);transferase activity, transferring pentosyl groups(GO:0016763)"	aromatic compound biosynthetic process(GO:0019438);cellular amino acid biosynthetic process(GO:0008652);cellular nitrogen compound biosynthetic process(GO:0044271);drug metabolic process(GO:0017144);heterocycle biosynthetic process(GO:0018130);organic cyclic compound biosynthetic process(GO:1901362)	catalytic complex(GO:1902494);cytoplasmic part(GO:0044444)	cysteine protease(PC00081);glycosyltransferase(PC00111);lyase(PC00144)	
PTHR30605:SF0	VIBCH|EnsemblGenome=VC_0691|UniProtKB=Q9KU38	ANHYDRO-N-ACETYLMURAMIC ACID KINASE	26	kinase activity(GO:0016301)			kinase(PC00137)	
PTHR43483:SF1	VIBCH|EnsemblGenome=VC_0673|UniProtKB=Q9KU51	SUBFAMILY NOT NAMED	18					
PTHR23135:SF4	VIBCH|EnsemblGenome=VC_2406|UniProtKB=Q9X6N4	"UDP-N-ACETYLMURAMOYL-L-ALANYL-D-GLUTAMATE--2,6-DIAMINOPIMELATE LIGASE MURE HOMOLOG, CHLOROPLASTIC"	77	ligase activity(GO:0016874)	metabolic process(GO:0008152)		ligase(PC00142)	
PTHR21600:SF2	VIBCH|EnsemblGenome=VC_1179|UniProtKB=Q9KSS7	RIBOSOMAL LARGE SUBUNIT PSEUDOURIDINE SYNTHASE B	33					
PTHR43270:SF9	VIBCH|EnsemblGenome=VC_2152|UniProtKB=Q9KQ52	SUCCINYL-DIAMINOPIMELATE DESUCCINYLASE	14					
PTHR35011:SF2	VIBCH|EnsemblGenome=VC_1928|UniProtKB=Q9KQS0	"2,3-DIKETO-L-GULONATE TRAP TRANSPORTER SMALL PERMEASE PROTEIN YIAM"	16		C4-dicarboxylate transport(GO:0015740)	plasma membrane(GO:0005886)		
PTHR22911:SF60	VIBCH|EnsemblGenome=VC_1656|UniProtKB=Q9KRI5	SUBFAMILY NOT NAMED	15			integral component of membrane(GO:0016021)	transporter(PC00227)	
PTHR11136:SF0	VIBCH|EnsemblGenome=VC_1001|UniProtKB=Q9KTA2	DIHYDROFOLATE SYNTHETASE-RELATED	94	ligase activity(GO:0016874)	folic acid-containing compound biosynthetic process(GO:0009396)	cytoplasm(GO:0005737)		
PTHR43072:SF30	VIBCH|EnsemblGenome=VC_A0470|UniProtKB=H9L4R4	SUBFAMILY NOT NAMED	13	"transferase activity, transferring acyl groups other than amino-acyl groups(GO:0016747)"			acetyltransferase(PC00038)	
PTHR34990:SF1	VIBCH|EnsemblGenome=VC_1850|UniProtKB=Q9KQZ7	"UDP-2,3-DIACYLGLUCOSAMINE HYDROLASE"	12	pyrophosphatase activity(GO:0016462)	glycolipid biosynthetic process(GO:0009247);oligosaccharide biosynthetic process(GO:0009312);phospholipid biosynthetic process(GO:0008654)	extrinsic component of plasma membrane(GO:0019897)		
PTHR42739:SF1	VIBCH|EnsemblGenome=VC_A0957|UniProtKB=Q9KKZ3	MALATE SYNTHASE G	7	"magnesium ion binding(GO:0000287);transferase activity, transferring acyl groups(GO:0016746)"	carboxylic acid catabolic process(GO:0046395);monocarboxylic acid metabolic process(GO:0032787)	cytosol(GO:0005829)		
PTHR22749:SF6	VIBCH|EnsemblGenome=VC_0681|UniProtKB=Q9KU48	BIFUNCTIONAL RIBOFLAVIN KINASE/FMN ADENYLYLTRANSFERASE	42	"kinase activity(GO:0016301);phosphotransferase activity, alcohol group as acceptor(GO:0016773)"	coenzyme biosynthetic process(GO:0009108);organonitrogen compound biosynthetic process(GO:1901566);ribonucleoside monophosphate biosynthetic process(GO:0009156);ribonucleotide biosynthetic process(GO:0009260)		kinase(PC00137)	
PTHR43166:SF4	"VIBCH|EnsemblGenome=VC_A1037|UniProtKB=Q9KKR5,VIBCH|EnsemblGenome=VC_1359|UniProtKB=Q9KSA0"	SUBFAMILY NOT NAMED	25	"ATPase activity, coupled to transmembrane movement of substances(GO:0042626)"	amino acid transport(GO:0006865);carbohydrate metabolic process(GO:0005975);carbohydrate transport(GO:0008643);cellular amino acid metabolic process(GO:0006520);phosphate-containing compound metabolic process(GO:0006796)		ATP-binding cassette (ABC) transporter(PC00003)	
PTHR10344:SF4	VIBCH|EnsemblGenome=VC_2016|UniProtKB=Q9KQI2	THYMIDYLATE KINASE	157	"kinase activity(GO:0016301);phosphotransferase activity, phosphate group as acceptor(GO:0016776)"	carbohydrate derivative biosynthetic process(GO:1901137);nucleoside monophosphate metabolic process(GO:0009123);nucleoside triphosphate biosynthetic process(GO:0009142);nucleotide biosynthetic process(GO:0009165);organonitrogen compound biosynthetic process(GO:1901566);pyrimidine nucleotide metabolic process(GO:0006220)	cytoplasm(GO:0005737)	nucleotide kinase(PC00172)	
PTHR21666:SF267	VIBCH|EnsemblGenome=VC_2567|UniProtKB=Q9KP12	SUBFAMILY NOT NAMED	4	metalloendopeptidase activity(GO:0004222)	cell division(GO:0051301);programmed cell death(GO:0012501);signal transduction(GO:0007165)		metalloprotease(PC00153)	
PTHR43790:SF3	VIBCH|EnsemblGenome=VC_A0128|UniProtKB=Q9KN37	D-ALLOSE IMPORT ATP-BINDING PROTEIN ALSA-RELATED	34	"ATPase activity, coupled to transmembrane movement of substances(GO:0042626)"	amino acid transport(GO:0006865);carbohydrate metabolic process(GO:0005975);carbohydrate transport(GO:0008643);cellular amino acid metabolic process(GO:0006520);phosphate-containing compound metabolic process(GO:0006796)		ATP-binding cassette (ABC) transporter(PC00003)	
PTHR30133:SF2	VIBCH|EnsemblGenome=VC_A0758|UniProtKB=Q9KLI6	ARGININE ABC TRANSPORTER PERMEASE PROTEIN ARTQ	7			plasma membrane(GO:0005886)	amino acid transporter(PC00046)	
PTHR30081:SF8	VIBCH|EnsemblGenome=VC_0744|UniProtKB=Q9KTY6	PROTEIN TRANSLOCASE SUBUNIT SECF	39					
PTHR11358:SF26	VIBCH|EnsemblGenome=VC_A0814|UniProtKB=Q9KLD2	"AGMATINASE, MITOCHONDRIAL"	98	hydrolase activity(GO:0016787)	cellular amino acid catabolic process(GO:0009063)		hydrolase(PC00121)	
PTHR30413:SF10	VIBCH|EnsemblGenome=VC_0246|UniProtKB=Q9KVA3	SUBFAMILY NOT NAMED	15		carbohydrate derivative transport(GO:1901264);lipid transport(GO:0006869)			
PTHR32182:SF0	VIBCH|EnsemblGenome=VC_0014|UniProtKB=Q9KVX4	DNA REPLICATION AND REPAIR PROTEIN RECF	32		DNA synthesis involved in DNA repair(GO:0000731);double-strand break repair(GO:0006302)		chromatin/chromatin-binding protein(PC00077);hydrolase(PC00121)	
PTHR38689:SF1	VIBCH|EnsemblGenome=VC_2090|UniProtKB=Q9KQB0	SUCCINATE DEHYDROGENASE HYDROPHOBIC MEMBRANE ANCHOR SUBUNIT	9	electron transfer activity(GO:0009055);heme binding(GO:0020037)	aerobic respiration(GO:0009060);cytochrome complex assembly(GO:0017004)	plasma membrane(GO:0005886)		
PTHR38103:SF1	VIBCH|EnsemblGenome=VC_0718|UniProtKB=Q9KU12	RECOMBINATION-ASSOCIATED PROTEIN RDGC	9					
PTHR10520:SF12	VIBCH|EnsemblGenome=VC_2226|UniProtKB=Q9KPY6	TRIFUNCTIONAL PURINE BIOSYNTHETIC PROTEIN ADENOSINE-3	141	ligase activity(GO:0016874)	purine nucleobase biosynthetic process(GO:0009113);purine nucleotide biosynthetic process(GO:0006164)	cytosol(GO:0005829)	hydrolase(PC00121);ligase(PC00142);transferase(PC00220)	
PTHR22911:SF37	"VIBCH|EnsemblGenome=VC_1311|UniProtKB=Q9KSE6,VIBCH|EnsemblGenome=VC_A0963|UniProtKB=Q9KKY7"	THREONINE/HOMOSERINE EXPORTER RHTA	17			integral component of membrane(GO:0016021)	transporter(PC00227)	
PTHR22778:SF16	VIBCH|EnsemblGenome=VC_0440|UniProtKB=Q9KUS5	DIHYDROFOLATE REDUCTASE	85	cofactor binding(GO:0048037);nucleotide binding(GO:0000166);oxidoreductase activity(GO:0016491)	drug metabolic process(GO:0017144);folic acid-containing compound biosynthetic process(GO:0009396)		reductase(PC00198)	
PTHR42863:SF6	VIBCH|EnsemblGenome=VC_1182|UniProtKB=Q9KSS4	THIOREDOXIN REDUCTASE 1-RELATED	134	oxidoreductase activity(GO:0016491)	nitrogen compound metabolic process(GO:0006807);respiratory electron transport chain(GO:0022904)		dehydrogenase(PC00092);oxidase(PC00175);reductase(PC00198)	
PTHR44051:SF8	VIBCH|EnsemblGenome=VC_A0584|UniProtKB=Q9KM05	GLUTATHIONE S-TRANSFERASE-RELATED	35					
PTHR46997:SF2	VIBCH|EnsemblGenome=VC_A0772|UniProtKB=Q9KLH2	TYROSINE-SPECIFIC TRANSPORT PROTEIN	9					
PTHR15680:SF9	VIBCH|EnsemblGenome=VC_0564|UniProtKB=Q9KUF7	"39S RIBOSOMAL PROTEIN L19, MITOCHONDRIAL"	130	structural constituent of ribosome(GO:0003735)			ribosomal protein(PC00202)	
PTHR33231:SF1	VIBCH|EnsemblGenome=VC_2530|UniProtKB=H9L4N9	30S RIBOSOMAL PROTEIN	81	ribosome binding(GO:0043022)	formation of translation initiation ternary complex(GO:0001677);negative regulation of translation(GO:0017148);translational elongation(GO:0006414);translational termination(GO:0006415)	cytosolic small ribosomal subunit(GO:0022627)		
PTHR43267:SF1	"VIBCH|EnsemblGenome=VC_2311|UniProtKB=Q9KPQ5,VIBCH|EnsemblGenome=VC_0180|UniProtKB=Q9KVG6"	TRNA THREONYLCARBAMOYLADENOSINE DEHYDRATASE	30	"catalytic activity, acting on RNA(GO:0140098);hydro-lyase activity(GO:0016836)"	tRNA modification(GO:0006400)		ligase(PC00142);transfer/carrier protein(PC00219)	
PTHR26402:SF736	VIBCH|EnsemblGenome=VC_A0239|UniProtKB=Q9KMT1	SUBFAMILY NOT NAMED	49	DNA-binding transcription factor activity(GO:0003700);molecular transducer activity(GO:0060089);transcription regulatory region sequence-specific DNA binding(GO:0000976)	"phosphorelay signal transduction system(GO:0000160);positive regulation of transcription, DNA-templated(GO:0045893);transcription, DNA-templated(GO:0006351)"	cytosol(GO:0005829);protein-DNA complex(GO:0032993)	methyltransferase(PC00155);protein kinase(PC00193);winged helix/forkhead transcription factor(PC00246)	
PTHR22939:SF126	VIBCH|EnsemblGenome=VC_0566|UniProtKB=Q9KUF5	"SERINE PROTEASE HTRA2, MITOCHONDRIAL"	60					
PTHR30537:SF32	VIBCH|EnsemblGenome=VC_A0876|UniProtKB=Q9KL71	HTH-TYPE TRANSCRIPTIONAL REGULATOR DSDC	3	DNA-binding transcription factor activity(GO:0003700);sequence-specific DNA binding(GO:0043565)	"transcription, DNA-templated(GO:0006351)"			
PTHR30037:SF4	VIBCH|EnsemblGenome=VC_1672|UniProtKB=Q9KRH0	DNA-3-METHYLADENINE GLYCOSYLASE I	26					
PTHR11108:SF1	VIBCH|EnsemblGenome=VC_0987|UniProtKB=Q9KTB6	"FERROCHELATASE, MITOCHONDRIAL"	134	lyase activity(GO:0016829)	heme biosynthetic process(GO:0006783)			
PTHR38591:SF1	VIBCH|EnsemblGenome=VC_1628|UniProtKB=Q9KRL2	SUBFAMILY NOT NAMED	8					
PTHR45569:SF1	VIBCH|EnsemblGenome=VC_A0531|UniProtKB=Q9KM57	SENSOR PROTEIN KDPD	19	protein kinase activity(GO:0004672)	detection of chemical stimulus(GO:0009593);peptidyl-amino acid modification(GO:0018193);phosphorelay signal transduction system(GO:0000160);signal transduction by protein phosphorylation(GO:0023014)	intracellular(GO:0005622);plasma membrane(GO:0005886)		
PTHR38768:SF1	VIBCH|EnsemblGenome=VC_A0740|UniProtKB=Q9KLK3	UPF0502 PROTEIN YCEH	8					
PTHR30404:SF1	VIBCH|EnsemblGenome=VC_0344|UniProtKB=Q9KV14	N-ACETYLMURAMOYL-L-ALANINE AMIDASE AMIB	6	"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides(GO:0016811)"		outer membrane-bounded periplasmic space(GO:0030288);plasma membrane(GO:0005886)	hydrolase(PC00121)	
PTHR38104:SF1	VIBCH|EnsemblGenome=VC_2466|UniProtKB=Q9KPA7	ANTI-SIGMA-E FACTOR RSEA	8	transcription corepressor activity(GO:0003714)	nucleic acid-templated transcription(GO:0097659)			
PTHR43281:SF1	VIBCH|EnsemblGenome=VC_0890|UniProtKB=Q9KTL2	FARNESYL DIPHOSPHATE SYNTHASE	77				acyltransferase(PC00042)	
PTHR34874:SF3	VIBCH|EnsemblGenome=VC_0356|UniProtKB=Q9KV02	SULFURTRANSFERASE TUSD	7		tRNA wobble uridine modification(GO:0002098)	cytosolic part(GO:0044445);transferase complex(GO:1990234)		
PTHR32063:SF65	VIBCH|EnsemblGenome=VC_0629|UniProtKB=Q9KU94	SUBFAMILY NOT NAMED	33					
PTHR35175:SF1	VIBCH|EnsemblGenome=VC_1662|UniProtKB=Q9KRI0	SUBFAMILY NOT NAMED	6					
PTHR43166:SF9	VIBCH|EnsemblGenome=VC_0008|UniProtKB=Q9KVY0	HISTIDINE TRANSPORT ATP-BINDING PROTEIN HISP	25	"ATPase activity, coupled to transmembrane movement of substances(GO:0042626)"	amino acid transport(GO:0006865);carbohydrate metabolic process(GO:0005975);carbohydrate transport(GO:0008643);cellular amino acid metabolic process(GO:0006520);phosphate-containing compound metabolic process(GO:0006796)		ATP-binding cassette (ABC) transporter(PC00003)	
PTHR11609:SF5	VIBCH|EnsemblGenome=VC_0051|UniProtKB=Q9KVT8	PHOSPHORIBOSYLAMINOIMIDAZOLE CARBOXYLASE	92				decarboxylase(PC00089);ligase(PC00142)	
PTHR43046:SF2	VIBCH|EnsemblGenome=VC_A0592|UniProtKB=Q9KLZ7	SUBFAMILY NOT NAMED	28	"hydrolase activity(GO:0016787);transferase activity, transferring glycosyl groups(GO:0016757)"	nucleobase-containing compound metabolic process(GO:0006139)		hydrolase(PC00121);phosphorylase(PC00187)	
PTHR11451:SF31	VIBCH|EnsemblGenome=VC_A0287|UniProtKB=Q9KMN7	THREONINE--TRNA LIGASE	32	"catalytic activity, acting on RNA(GO:0140098);ligase activity(GO:0016874)"	cellular amino acid metabolic process(GO:0006520);formation of translation initiation ternary complex(GO:0001677);tRNA metabolic process(GO:0006399);translational elongation(GO:0006414);translational termination(GO:0006415)	cytosol(GO:0005829)	ligase(PC00142)	
PTHR36573:SF1	VIBCH|EnsemblGenome=VC_2517|UniProtKB=Q9KP59	PHOSPHOLIPID-BINDING PROTEIN MLAC-RELATED	13					
PTHR40266:SF2	VIBCH|EnsemblGenome=VC_A0391|UniProtKB=Q9KMG5	SUBFAMILY NOT NAMED	6					
PTHR10890:SF3	VIBCH|EnsemblGenome=VC_1848|UniProtKB=Q9KQZ9	"CYSTEINE--TRNA LIGASE, CYTOPLASMIC"	118	"ATP binding(GO:0005524);catalytic activity, acting on RNA(GO:0140098);ligase activity(GO:0016874)"	cellular amino acid metabolic process(GO:0006520);formation of translation initiation ternary complex(GO:0001677);tRNA metabolic process(GO:0006399);translational elongation(GO:0006414);translational termination(GO:0006415)	cytoplasm(GO:0005737)	RNA binding protein(PC00031);aminoacyl-tRNA synthetase(PC00047)	
PTHR43835:SF13	VIBCH|EnsemblGenome=VC_1740|UniProtKB=Q9KRA2	SUBFAMILY NOT NAMED	3					
PTHR43876:SF10	VIBCH|EnsemblGenome=VC_0963|UniProtKB=Q9KTD9	"2-OCTAPRENYL-3-METHYL-6-METHOXY-1,4-BENZOQUINOL HYDROXYLASE"	6	oxidoreductase activity(GO:0016491)	ubiquinone biosynthetic process(GO:0006744)		oxygenase(PC00177)	
