Longname	Mapped	Info	Panth_fam	Pant_prot_class	Species	Molecular_function	Bio_process	Cellular_component
VIBCH|EnsemblGenome=VC_A0616|UniProtKB=Q9KLX5	VC_A0616	GTP cyclohydrolase 1;folE;ortholog	GTP CYCLOHYDROLASE 1 (PTHR11109:SF7)	hydrolase(PC00121)	Vibrio cholerae	nucleotide binding(GO:0000166);GTP cyclohydrolase I activity(GO:0003934);GTP binding(GO:0005525);zinc ion binding(GO:0008270);hydrolase activity(GO:0016787);metal ion binding(GO:0046872)	tetrahydrobiopterin biosynthetic process(GO:0006729);one-carbon metabolic process(GO:0006730);folic acid-containing compound metabolic process(GO:0006760);7,8-dihydroneopterin 3'-triphosphate biosynthetic process(GO:0035998);tetrahydrofolate biosynthetic process(GO:0046654)	cytoplasm(GO:0005737)
VIBCH|EnsemblGenome=VC_A1029|UniProtKB=Q9KKS1	VC_A1029	Glycogen operon protein GlgX;VC_A1029;ortholog	SUBFAMILY NOT NAMED (PTHR43002:SF5)	amylase(PC00048)	Vibrio cholerae	molecular_function(GO:0003674);catalytic activity(GO:0003824);glycogen debranching enzyme activity(GO:0004133);hydrolase activity, hydrolyzing O-glycosyl compounds(GO:0004553);hydrolase activity(GO:0016787);hydrolase activity, acting on glycosyl bonds(GO:0016798)	carbohydrate metabolic process(GO:0005975);glycogen metabolic process(GO:0005977);glycogen catabolic process(GO:0005980);metabolic process(GO:0008152)	
VIBCH|EnsemblGenome=VC_1076|UniProtKB=Q9KT29	VC_1076	Transcriptional regulator, AraC/XylS family;VC_1076;ortholog	HTH-TYPE TRANSCRIPTIONAL REGULATOR GADX (PTHR47894:SF3)		Vibrio cholerae	DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700);sequence-specific DNA binding(GO:0043565)	transcription, DNA-templated(GO:0006351);regulation of transcription, DNA-templated(GO:0006355)	
VIBCH|EnsemblGenome=VC_2210|UniProtKB=P0C6Q2	VC_2210	Vibriobactin utilization protein ViuB;viuB;ortholog	SUBFAMILY NOT NAMED (PTHR30157:SF1)		Vibrio cholerae	oxidoreductase activity(GO:0016491);ferric-chelate reductase (NADPH) activity(GO:0052851)	ion transport(GO:0006811);vibriobactin metabolic process(GO:0019536);iron import into cell(GO:0033212);iron ion homeostasis(GO:0055072);oxidation-reduction process(GO:0055114);cellular response to iron ion(GO:0071281)	cytoplasm(GO:0005737)
VIBCH|EnsemblGenome=VC_2349|UniProtKB=Q9KPL8	VC_2349	Thymidine phosphorylase;deoA;ortholog	THYMIDINE PHOSPHORYLASE (PTHR10515:SF0)	glycosyltransferase(PC00111)	Vibrio cholerae	phosphorylase activity(GO:0004645);thymidine phosphorylase activity(GO:0009032);pyrimidine-nucleoside phosphorylase activity(GO:0016154);transferase activity(GO:0016740);transferase activity, transferring glycosyl groups(GO:0016757);transferase activity, transferring pentosyl groups(GO:0016763)	nucleobase-containing compound metabolic process(GO:0006139);pyrimidine nucleobase metabolic process(GO:0006206);pyrimidine nucleoside metabolic process(GO:0006213);metabolic process(GO:0008152)	cytosol(GO:0005829)
VIBCH|EnsemblGenome=VC_A0191|UniProtKB=Q9KMX5	VC_A0191	Bifunctional NAD(P)H-hydrate repair enzyme Nnr;nnr;ortholog	ATP-DEPENDENT (S)-NAD(P)H-HYDRATE DEHYDRATASE (PTHR12592:SF0)		Vibrio cholerae	nucleotide binding(GO:0000166);molecular_function(GO:0003674);catalytic activity(GO:0003824);ATP binding(GO:0005524);lyase activity(GO:0016829);isomerase activity(GO:0016853);metal ion binding(GO:0046872);ADP-dependent NAD(P)H-hydrate dehydratase activity(GO:0052855)	biological_process(GO:0008150);metabolic process(GO:0008152)	cellular_component(GO:0005575)
VIBCH|EnsemblGenome=VC_A1046|UniProtKB=Q9KKQ6	VC_A1046	Mannitol-1-phosphate 5-dehydrogenase;mtlD;ortholog	MANNITOL-1-PHOSPHATE 5-DEHYDROGENASE (PTHR30524:SF0)	oxidoreductase(PC00176)	Vibrio cholerae	catalytic activity(GO:0003824);mannitol-1-phosphate 5-dehydrogenase activity(GO:0008926);oxidoreductase activity(GO:0016491);coenzyme binding(GO:0050662)	carbohydrate metabolic process(GO:0005975);metabolic process(GO:0008152);mannitol catabolic process(GO:0019592);mannitol metabolic process(GO:0019594);oxidation-reduction process(GO:0055114)	cytosol(GO:0005829)
VIBCH|EnsemblGenome=VC_1128|UniProtKB=Q9KSX8	VC_1128	tRNA-specific 2-thiouridylase MnmA;mnmA;ortholog	MITOCHONDRIAL TRNA-SPECIFIC 2-THIOURIDYLASE 1 (PTHR11933:SF5)	RNA methyltransferase(PC00033)	Vibrio cholerae	tRNA binding(GO:0000049);nucleotide binding(GO:0000166);RNA binding(GO:0003723);tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase activity(GO:0004808);ATP binding(GO:0005524);transferase activity(GO:0016740);sulfurtransferase activity(GO:0016783)	tRNA wobble position uridine thiolation(GO:0002143);RNA processing(GO:0006396);tRNA processing(GO:0008033);tRNA methylation(GO:0030488)	cytoplasm(GO:0005737)
VIBCH|EnsemblGenome=VC_2222|UniProtKB=Q9KPZ0	VC_2222	Uncharacterized protein;VC_2222;ortholog	DNA ENDONUCLEASE SMRA-RELATED (PTHR35562:SF2)		Vibrio cholerae	molecular_function(GO:0003674);endodeoxyribonuclease activity(GO:0004520)	DNA metabolic process(GO:0006259);biological_process(GO:0008150)	cellular_component(GO:0005575)
VIBCH|EnsemblGenome=VC_1134|UniProtKB=Q9KSX2	VC_1134	Histidinol-phosphate aminotransferase;hisC;ortholog	HISTIDINOL-PHOSPHATE AMINOTRANSFERASE (PTHR42885:SF2)		Vibrio cholerae	catalytic activity(GO:0003824);histidinol-phosphate transaminase activity(GO:0004400);transaminase activity(GO:0008483);transferase activity(GO:0016740);pyridoxal phosphate binding(GO:0030170);L-phenylalanine:2-oxoglutarate aminotransferase activity(GO:0080130)	histidine biosynthetic process(GO:0000105);metabolic process(GO:0008152);cellular amino acid biosynthetic process(GO:0008652);biosynthetic process(GO:0009058)	
VIBCH|EnsemblGenome=VC_1415|UniProtKB=H9L4Q3	VC_1415	Hcp protein;VC_1415;ortholog	SUBFAMILY NOT NAMED (PTHR34319:SF6)		Vibrio cholerae			
VIBCH|EnsemblGenome=VC_A0061|UniProtKB=Q9KNA4	VC_A0061	ATP-dependent RNA helicase, DEAD box family;VC_A0061;ortholog	ATP-DEPENDENT RNA HELICASE DDX17-RELATED (PTHR24031:SF594)		Vibrio cholerae	nucleotide binding(GO:0000166);nucleic acid binding(GO:0003676);ATP-dependent RNA helicase activity(GO:0004004);helicase activity(GO:0004386);ATP binding(GO:0005524);hydrolase activity(GO:0016787)	RNA secondary structure unwinding(GO:0010501);RNA metabolic process(GO:0016070)	cytoplasm(GO:0005737)
VIBCH|EnsemblGenome=VC_A0445|UniProtKB=H9L4T4	VC_A0445	Antitoxin;VC_A0445;ortholog	SUBFAMILY NOT NAMED (PTHR33713:SF1)		Vibrio cholerae			
VIBCH|EnsemblGenome=VC_0522|UniProtKB=Q9KUJ8	VC_0522	Beta-ketoadipate enol-lactone hydrolase, putative;VC_0522;ortholog	SUBFAMILY NOT NAMED (PTHR43798:SF9)		Vibrio cholerae	catalytic activity(GO:0003824);hydrolase activity(GO:0016787)	aromatic compound catabolic process(GO:0019439)	
VIBCH|EnsemblGenome=VC_1613|UniProtKB=Q9KRM3	VC_1613	Uncharacterized protein;VC_1613;ortholog			Vibrio cholerae	molecular_function(GO:0003674)	biological_process(GO:0008150)	cellular_component(GO:0005575);membrane(GO:0016020);integral component of membrane(GO:0016021)
VIBCH|EnsemblGenome=VC_1371|UniProtKB=Q9KS88	VC_1371	Uncharacterized protein;VC_1371;ortholog			Vibrio cholerae	molecular_function(GO:0003674)	biological_process(GO:0008150)	cellular_component(GO:0005575)
VIBCH|EnsemblGenome=VC_A0618|UniProtKB=Q9KLX3	VC_A0618	Molybdopterin biosynthesis MoeB protein;VC_A0618;ortholog	MOLYBDOPTERIN-SYNTHASE ADENYLYLTRANSFERASE (PTHR10953:SF194)	ligase(PC00142);transfer/carrier protein(PC00219)	Vibrio cholerae	catalytic activity(GO:0003824);ubiquitin-like modifier activating enzyme activity(GO:0008641);nucleotidyltransferase activity(GO:0016779)	Mo-molybdopterin cofactor biosynthetic process(GO:0006777)	
VIBCH|EnsemblGenome=VC_A0104|UniProtKB=Q9KN61	VC_A0104	Ribosomal large subunit pseudouridine synthase A;VC_A0104;ortholog	RIBOSOMAL LARGE SUBUNIT PSEUDOURIDINE SYNTHASE A (PTHR21600:SF55)		Vibrio cholerae	RNA binding(GO:0003723);pseudouridine synthase activity(GO:0009982);deaminase activity(GO:0019239)	rRNA modification(GO:0000154);enzyme-directed rRNA pseudouridine synthesis(GO:0000455);pseudouridine synthesis(GO:0001522);RNA modification(GO:0009451);tRNA pseudouridine synthesis(GO:0031119)	
VIBCH|EnsemblGenome=VC_0624|UniProtKB=Q9KU99	VC_0624	Uncharacterized protein;VC_0624;ortholog	TRANSMEMBRANE PROTEIN 245 (PTHR21716:SF4)		Vibrio cholerae	molecular_function(GO:0003674);transporter activity(GO:0005215)	biological_process(GO:0008150);transmembrane transport(GO:0055085)	cellular_component(GO:0005575);integral component of plasma membrane(GO:0005887);membrane(GO:0016020);integral component of membrane(GO:0016021)
VIBCH|EnsemblGenome=VC_1782|UniProtKB=Q9KR61	VC_1782	N-acetylmannosamine kinase;nanK;ortholog	N-ACETYLMANNOSAMINE KINASE (PTHR18964:SF164)	carbohydrate kinase(PC00065);epimerase/racemase(PC00096);transcription factor(PC00218)	Vibrio cholerae	nucleotide binding(GO:0000166);ATP binding(GO:0005524);zinc ion binding(GO:0008270);N-acylmannosamine kinase activity(GO:0009384);kinase activity(GO:0016301);transferase activity(GO:0016740);metal ion binding(GO:0046872)	carbohydrate metabolic process(GO:0005975);biological_process(GO:0008150);phosphorylation(GO:0016310);N-acetylneuraminate catabolic process(GO:0019262);carbohydrate phosphorylation(GO:0046835)	
VIBCH|EnsemblGenome=VC_0333|UniProtKB=Q9KV25	VC_0333	Transcriptional reguator, TetR family;VC_0333;ortholog			Vibrio cholerae	transcription regulatory region sequence-specific DNA binding(GO:0000976);DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700)	transcription, DNA-templated(GO:0006351);regulation of transcription, DNA-templated(GO:0006355)	cytosol(GO:0005829)
VIBCH|EnsemblGenome=VC_0325|UniProtKB=Q9KV33	VC_0325	50S ribosomal protein L1;rplA;ortholog	RIBOSOMAL PROTEIN L1P/L10E FAMILY (PTHR23105:SF54)	ribosomal protein(PC00202)	Vibrio cholerae	tRNA binding(GO:0000049);RNA binding(GO:0003723);structural constituent of ribosome(GO:0003735);rRNA binding(GO:0019843)	maturation of LSU-rRNA(GO:0000470);translation(GO:0006412);regulation of translation(GO:0006417)	ribosome(GO:0005840);large ribosomal subunit(GO:0015934);cytosolic large ribosomal subunit(GO:0022625);ribonucleoprotein complex(GO:0030529)
VIBCH|EnsemblGenome=VC_1234|UniProtKB=Q9KSM2	VC_1234	Exodeoxyribonuclease I;VC_1234;ortholog	EXODEOXYRIBONUCLEASE I (PTHR11046:SF11)	exoribonuclease(PC00099);hydrolase(PC00121)	Vibrio cholerae	3'-5'-exoribonuclease activity(GO:0000175);nucleic acid binding(GO:0003676);nuclease activity(GO:0004518);exonuclease activity(GO:0004527);exodeoxyribonuclease activity(GO:0004529);exodeoxyribonuclease I activity(GO:0008852);hydrolase activity(GO:0016787);metal ion binding(GO:0046872)	DNA repair(GO:0006281);DNA catabolic process(GO:0006308);cellular response to DNA damage stimulus(GO:0006974);nucleic acid phosphodiester bond hydrolysis(GO:0090305);RNA phosphodiester bond hydrolysis, exonucleolytic(GO:0090503)	
VIBCH|EnsemblGenome=VC_2728|UniProtKB=P45775	VC_2728	Type II secretion system protein I;epsI;ortholog	TYPE II SECRETION SYSTEM PROTEIN I-RELATED (PTHR38779:SF2)		Vibrio cholerae	protein transporter activity(GO:0008565)	protein secretion(GO:0009306);protein transport(GO:0015031);protein secretion by the type II secretion system(GO:0015628)	type II protein secretion system complex(GO:0015627)
VIBCH|EnsemblGenome=VC_A0731|UniProtKB=Q9KLL2	VC_A0731	Uncharacterized protein;VC_A0731;ortholog			Vibrio cholerae	molecular_function(GO:0003674)	biological_process(GO:0008150)	cellular_component(GO:0005575)
VIBCH|EnsemblGenome=VC_A0838|UniProtKB=Q9KLA8	VC_A0838	Uncharacterized protein;VC_A0838;ortholog	PROTEIN YHFA (PTHR34352:SF1)		Vibrio cholerae	molecular_function(GO:0003674)	biological_process(GO:0008150)	cellular_component(GO:0005575)
VIBCH|EnsemblGenome=VC_0847|UniProtKB=H9L4T5	VC_0847	Integrase, phage family;VC_0847;ortholog	PROPHAGE INTEGRASE INTA-RELATED (PTHR30629:SF6)		Vibrio cholerae	DNA binding(GO:0003677)	DNA recombination(GO:0006310);DNA integration(GO:0015074)	
VIBCH|EnsemblGenome=VC_2619|UniProtKB=Q9KNW1	VC_2619	Para-aminobenzoate synthase glutamine amidotransferase, component II;VC_2619;ortholog	MULTIFUNCTIONAL TRYPTOPHAN BIOSYNTHESIS PROTEIN (PTHR43418:SF4)	cysteine protease(PC00081);glycosyltransferase(PC00111);lyase(PC00144)	Vibrio cholerae	anthranilate synthase activity(GO:0004049);transferase activity(GO:0016740)	tryptophan biosynthetic process(GO:0000162);glutamine metabolic process(GO:0006541);metabolic process(GO:0008152)	anthranilate synthase complex(GO:0005950)
VIBCH|EnsemblGenome=VC_A0127|UniProtKB=Q9KN38	VC_A0127	D-ribose pyranase;rbsD;ortholog	D-RIBOSE PYRANASE (PTHR37831:SF1)		Vibrio cholerae	D-ribose-importing ATPase activity(GO:0015611);isomerase activity(GO:0016853);intramolecular lyase activity(GO:0016872);monosaccharide binding(GO:0048029)	carbohydrate metabolic process(GO:0005975);monosaccharide metabolic process(GO:0005996);D-ribose transmembrane transport(GO:0015752);D-ribose catabolic process(GO:0019303)	cytoplasm(GO:0005737)
VIBCH|EnsemblGenome=VC_A1106|UniProtKB=Q9KKJ9	VC_A1106	Uncharacterized protein;VC_A1106;ortholog			Vibrio cholerae	molecular_function(GO:0003674)	biological_process(GO:0008150)	cellular_component(GO:0005575)
VIBCH|EnsemblGenome=VC_0696|UniProtKB=Q9KU33	VC_0696	T-protein;VC_0696;ortholog	PREPHENATE DEHYDROGENASE [NADP(+)] (PTHR21363:SF0)	dehydrogenase(PC00092)	Vibrio cholerae	chorismate mutase activity(GO:0004106);prephenate dehydrogenase (NADP+) activity(GO:0004665);prephenate dehydrogenase (NAD+) activity(GO:0008977);oxidoreductase activity(GO:0016491);isomerase activity(GO:0016853);NAD+ binding(GO:0070403)	tyrosine biosynthetic process(GO:0006571);cellular amino acid biosynthetic process(GO:0008652);aromatic amino acid family biosynthetic process(GO:0009073);chorismate metabolic process(GO:0046417);oxidation-reduction process(GO:0055114)	cytoplasm(GO:0005737)
VIBCH|EnsemblGenome=VC_1846|UniProtKB=Q9KR01	VC_1846	Holliday junction ATP-dependent DNA helicase RuvA;ruvA;ortholog	HOLLIDAY JUNCTION ATP-DEPENDENT DNA HELICASE RUVA (PTHR33796:SF1)		Vibrio cholerae	nucleotide binding(GO:0000166);DNA binding(GO:0003677);DNA helicase activity(GO:0003678);helicase activity(GO:0004386);ATP binding(GO:0005524);four-way junction helicase activity(GO:0009378);hydrolase activity(GO:0016787)	DNA repair(GO:0006281);DNA recombination(GO:0006310);cellular response to DNA damage stimulus(GO:0006974);SOS response(GO:0009432);DNA duplex unwinding(GO:0032508)	Holliday junction helicase complex(GO:0009379)
VIBCH|EnsemblGenome=VC_2025|UniProtKB=Q9KQH3	VC_2025	50S ribosomal protein L32;rpmF;ortholog	50S RIBOSOMAL PROTEIN L32 (PTHR35534:SF1)		Vibrio cholerae	structural constituent of ribosome(GO:0003735)	translation(GO:0006412)	ribosome(GO:0005840);large ribosomal subunit(GO:0015934);cytosolic large ribosomal subunit(GO:0022625);ribonucleoprotein complex(GO:0030529)
VIBCH|EnsemblGenome=VC_0745|UniProtKB=Q9KTY5	VC_0745	Inositol-1-monophosphatase;VC_0745;ortholog	INOSITOL-1-MONOPHOSPHATASE (PTHR20854:SF4)	phosphatase(PC00181)	Vibrio cholerae	catalytic activity(GO:0003824);inositol monophosphate 1-phosphatase activity(GO:0008934);hydrolase activity(GO:0016787);metal ion binding(GO:0046872);inositol monophosphate 3-phosphatase activity(GO:0052832);inositol monophosphate 4-phosphatase activity(GO:0052833);inositol monophosphate phosphatase activity(GO:0052834)	inositol metabolic process(GO:0006020);signal transduction(GO:0007165);phosphatidylinositol phosphorylation(GO:0046854);inositol phosphate dephosphorylation(GO:0046855)	
VIBCH|EnsemblGenome=VC_2727|UniProtKB=P45776	VC_2727	Type II secretion system protein J;epsJ;ortholog	TYPE II SECRETION SYSTEM PROTEIN J-RELATED (PTHR39583:SF2)		Vibrio cholerae	protein transporter activity(GO:0008565)	protein secretion(GO:0009306);protein transport(GO:0015031);protein secretion by the type II secretion system(GO:0015628)	type II protein secretion system complex(GO:0015627)
VIBCH|EnsemblGenome=VC_A0243|UniProtKB=Q9KMS7	VC_A0243	Uncharacterized protein;VC_A0243;ortholog	PYRIDOXAL PHOSPHATE PHOSPHATASE YBHA (PTHR10000:SF52)	phosphatase(PC00181)	Vibrio cholerae	molecular_function(GO:0003674);hydrolase activity(GO:0016787)	biological_process(GO:0008150)	cellular_component(GO:0005575)
VIBCH|EnsemblGenome=VC_A0819|UniProtKB=Q9KLC7	VC_A0819	10 kDa chaperonin 2;groS2;ortholog	10 KDA CHAPERONIN (PTHR10772:SF24)	chaperonin(PC00073)	Vibrio cholerae	ATP binding(GO:0005524);metal ion binding(GO:0046872);unfolded protein binding(GO:0051082);chaperone binding(GO:0051087)	protein folding(GO:0006457);response to unfolded protein(GO:0006986);chaperone cofactor-dependent protein refolding(GO:0051085)	cytoplasm(GO:0005737)
VIBCH|EnsemblGenome=VC_2230|UniProtKB=Q9KPY2	VC_2230	Phosphoheptose isomerase;gmhA;ortholog	PHOSPHOHEPTOSE ISOMERASE (PTHR30390:SF7)		Vibrio cholerae	D-sedoheptulose 7-phosphate isomerase activity(GO:0008968);isomerase activity(GO:0016853);metal ion binding(GO:0046872);carbohydrate derivative binding(GO:0097367)	carbohydrate metabolic process(GO:0005975);lipopolysaccharide biosynthetic process(GO:0009103);lipopolysaccharide core region biosynthetic process(GO:0009244);carbohydrate derivative metabolic process(GO:1901135);D-glycero-D-manno-heptose 7-phosphate biosynthetic process(GO:2001061)	cytoplasm(GO:0005737)
VIBCH|EnsemblGenome=VC_0927|UniProtKB=Q9KTH5	VC_0927	UDP-N-acetyl-D-mannosamine transferase;VC_0927;ortholog	UDP-N-ACETYL-D-MANNOSAMINURONIC ACID TRANSFERASE (PTHR34136:SF1)		Vibrio cholerae	transferase activity(GO:0016740);transferase activity, transferring glycosyl groups(GO:0016757);transferase activity, transferring hexosyl groups(GO:0016758)	polysaccharide biosynthetic process(GO:0000271);biosynthetic process(GO:0009058)	
VIBCH|EnsemblGenome=VC_1369|UniProtKB=Q9KS90	VC_1369	Uncharacterized protein;VC_1369;ortholog	TAURINE-BINDING PERIPLASMIC PROTEIN (PTHR30024:SF8)		Vibrio cholerae	molecular_function(GO:0003674);transporter activity(GO:0005215)	biological_process(GO:0008150)	cellular_component(GO:0005575)
VIBCH|EnsemblGenome=VC_2211|UniProtKB=P0C6R1	VC_2211	Vibriobactin receptor;viuA;ortholog	SUBFAMILY NOT NAMED (PTHR30069:SF37)		Vibrio cholerae	signaling receptor activity(GO:0004872);iron ion binding(GO:0005506)	ion transport(GO:0006811);siderophore transport(GO:0015891);iron ion homeostasis(GO:0055072);cellular response to iron ion(GO:0071281)	cell outer membrane(GO:0009279);membrane(GO:0016020);integral component of membrane(GO:0016021)
VIBCH|EnsemblGenome=VC_A0090|UniProtKB=Q9KN75	VC_A0090	Uncharacterized protein;VC_A0090;ortholog	SUBFAMILY NOT NAMED (PTHR42920:SF10)		Vibrio cholerae	molecular_function(GO:0003674)	biological_process(GO:0008150)	cellular_component(GO:0005575);membrane(GO:0016020);integral component of membrane(GO:0016021)
VIBCH|EnsemblGenome=VC_0369|UniProtKB=Q9KUY9	VC_0369	50S ribosomal protein L9;rplI;ortholog	39S RIBOSOMAL PROTEIN L9, MITOCHONDRIAL (PTHR21368:SF18)	ribosomal protein(PC00202)	Vibrio cholerae	RNA binding(GO:0003723);structural constituent of ribosome(GO:0003735);rRNA binding(GO:0019843)	translation(GO:0006412)	intracellular(GO:0005622);ribosome(GO:0005840);cytosolic large ribosomal subunit(GO:0022625);ribonucleoprotein complex(GO:0030529)
VIBCH|EnsemblGenome=VC_0837|UniProtKB=P0C6Q5	VC_0837	Toxin coregulated pilus biosynthesis protein F;tcpF;ortholog			Vibrio cholerae			cell outer membrane(GO:0009279);membrane(GO:0016020)
VIBCH|EnsemblGenome=VC_1277|UniProtKB=Q9KSH9	VC_1277	Transcriptional regulator, LuxR family;VC_1277;ortholog	SUBFAMILY NOT NAMED (PTHR43214:SF24)	methyltransferase(PC00155);protein kinase(PC00193);winged helix/forkhead transcription factor(PC00246)	Vibrio cholerae	DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700)	phosphorelay signal transduction system(GO:0000160);transcription, DNA-templated(GO:0006351);regulation of transcription, DNA-templated(GO:0006355)	intracellular(GO:0005622)
VIBCH|EnsemblGenome=VC_2425|UniProtKB=Q9X4G9	VC_2425	Type IV pilin assembly protein PilC;pilC;ortholog	PROTEIN TRANSPORT PROTEIN HOFC HOMOLOG (PTHR30012:SF7)	transporter(PC00227)	Vibrio cholerae	molecular_function(GO:0003674)	pilus assembly(GO:0009297);protein secretion(GO:0009306);protein transport(GO:0015031);protein secretion by the type II secretion system(GO:0015628)	plasma membrane(GO:0005886);membrane(GO:0016020);integral component of membrane(GO:0016021)
VIBCH|EnsemblGenome=VC_0852|UniProtKB=P0C6Q4	VC_0852	DNA repair protein RecN;recN;ortholog	DNA REPAIR PROTEIN RECN (PTHR11059:SF0)	ATP-binding cassette (ABC) transporter(PC00003);hydrolase(PC00121);nucleic acid binding(PC00171)	Vibrio cholerae	nucleotide binding(GO:0000166);ATP binding(GO:0005524)	DNA repair(GO:0006281);DNA recombination(GO:0006310);cellular response to DNA damage stimulus(GO:0006974)	
VIBCH|EnsemblGenome=VC_1497|UniProtKB=Q9KRY6	VC_1497	RNA chaperone ProQ;proQ;ortholog	RNA CHAPERONE PROQ (PTHR38106:SF1)		Vibrio cholerae	molecular_function(GO:0003674);RNA binding(GO:0003723);RNA strand annealing activity(GO:0033592);RNA strand-exchange activity(GO:0034057)	biological_process(GO:0008150);posttranscriptional regulation of gene expression(GO:0010608)	cellular_component(GO:0005575);cytoplasm(GO:0005737)
VIBCH|EnsemblGenome=VC_2516|UniProtKB=Q9KP60	VC_2516	Anti-sigma B factor antagonist, putative;VC_2516;ortholog	PHOSPHOLIPID ABC TRANSPORTER-BINDING PROTEIN MLAB-RELATED (PTHR35849:SF1)		Vibrio cholerae		regulation of transcription, DNA-templated(GO:0006355)	
VIBCH|EnsemblGenome=VC_A1027|UniProtKB=Q9KKS3	VC_A1027	Maltose operon periplasmic protein, putative;VC_A1027;ortholog			Vibrio cholerae		biological_process(GO:0008150);carbohydrate transport(GO:0008643)	periplasmic space(GO:0042597)
VIBCH|EnsemblGenome=VC_1382|UniProtKB=Q9KS77	VC_1382	ATP-dependent helicase HrpA;VC_1382;ortholog	ATP-DEPENDENT RNA HELICASE DHX33 (PTHR18934:SF118)	RNA helicase(PC00032)	Vibrio cholerae	nucleic acid binding(GO:0003676);ATP-dependent RNA helicase activity(GO:0004004);helicase activity(GO:0004386);ATP binding(GO:0005524)	mRNA processing(GO:0006397)	
VIBCH|EnsemblGenome=VC_0546|UniProtKB=Q9KUH5	VC_0546	Uncharacterized protein;VC_0546;ortholog			Vibrio cholerae	molecular_function(GO:0003674)	biological_process(GO:0008150)	cellular_component(GO:0005575)
VIBCH|EnsemblGenome=VC_2770|UniProtKB=Q9KNG9	VC_2770	ATP synthase subunit a;atpB;ortholog	ATP SYNTHASE SUBUNIT A, CHLOROPLASTIC (PTHR42823:SF3)		Vibrio cholerae	proton transmembrane transporter activity(GO:0015078);proton-transporting ATP synthase activity, rotational mechanism(GO:0046933)	ATP biosynthetic process(GO:0006754);ion transport(GO:0006811);ATP synthesis coupled proton transport(GO:0015986);proton transmembrane transport(GO:0015992);plasma membrane ATP synthesis coupled proton transport(GO:0042777);ATP hydrolysis coupled cation transmembrane transport(GO:0099132)	plasma membrane(GO:0005886);integral component of plasma membrane(GO:0005887);membrane(GO:0016020);integral component of membrane(GO:0016021);proton-transporting ATP synthase complex, coupling factor F(o)(GO:0045263);plasma membrane proton-transporting ATP synthase complex, coupling factor F(o)(GO:0045264)
VIBCH|EnsemblGenome=VC_1685|UniProtKB=Q9KRF7	VC_1685	Uncharacterized protein;VC_1685;ortholog			Vibrio cholerae	molecular_function(GO:0003674)	biological_process(GO:0008150)	cellular_component(GO:0005575)
VIBCH|EnsemblGenome=VC_2667|UniProtKB=Q9KNR4	VC_2667	Uncharacterized protein;VC_2667;ortholog			Vibrio cholerae	molecular_function(GO:0003674)	biological_process(GO:0008150)	cellular_component(GO:0005575)
VIBCH|EnsemblGenome=VC_0139|UniProtKB=Q9KVK4	VC_0139	DPS family protein;VC_0139;ortholog	SUBFAMILY NOT NAMED (PTHR42932:SF1)		Vibrio cholerae	ferric iron binding(GO:0008199);oxidoreductase activity, oxidizing metal ions(GO:0016722)	cellular iron ion homeostasis(GO:0006879);response to stress(GO:0006950);oxidation-reduction process(GO:0055114)	cell(GO:0005623)
VIBCH|EnsemblGenome=VC_0540|UniProtKB=Q9KUI1	VC_0540	Sulfate ABC transporter, permease protein;VC_0540;ortholog	SULFATE TRANSPORT SYSTEM PERMEASE PROTEIN CYSW (PTHR30406:SF9)		Vibrio cholerae	sulfate transmembrane transporter activity(GO:0015116);ATPase-coupled sulfate transmembrane transporter activity(GO:0015419)	sulfate transport(GO:0008272);transmembrane transport(GO:0055085);ATP hydrolysis coupled anion transmembrane transport(GO:0099133);sulfate transmembrane transport(GO:1902358)	membrane(GO:0016020);integral component of membrane(GO:0016021)
VIBCH|EnsemblGenome=VC_0544|UniProtKB=Q56647	VC_0544	Regulatory protein RecX;recX;ortholog	REGULATORY PROTEIN RECX FAMILY PROTEIN (PTHR33602:SF1)		Vibrio cholerae		regulation of DNA repair(GO:0006282)	cytoplasm(GO:0005737)
VIBCH|EnsemblGenome=VC_2660|UniProtKB=Q9KNS1	VC_2660	Elongation factor P;efp;ortholog	ELONGATION FACTOR P (PTHR30053:SF12)		Vibrio cholerae	translation elongation factor activity(GO:0003746)	translation(GO:0006412);translational elongation(GO:0006414);peptide biosynthetic process(GO:0043043)	cytoplasm(GO:0005737)
VIBCH|EnsemblGenome=VC_A0431|UniProtKB=Q9KMD1	VC_A0431	Uncharacterized protein;VC_A0431;ortholog	SUBFAMILY NOT NAMED (PTHR37103:SF1)		Vibrio cholerae	molecular_function(GO:0003674)	biological_process(GO:0008150)	cellular_component(GO:0005575)
VIBCH|EnsemblGenome=VC_1298|UniProtKB=Q9KSF8	VC_1298	Methyl-accepting chemotaxis protein;VC_1298;ortholog	SUBFAMILY NOT NAMED (PTHR32089:SF92)		Vibrio cholerae	signaling receptor activity(GO:0004872);signaling receptor activity(GO:0038023)	chemotaxis(GO:0006935);signal transduction(GO:0007165)	membrane(GO:0016020);integral component of membrane(GO:0016021)
