vc_names,Uniprot,Family_name,Genes,GO,GO_num
VC1780,Q9KR63,,,,
VC1781,Q9KR62,N-ACETYLMANNOSAMINE-6-PHOSPHATE 2-EPIMERASE-RELATED,12,"",""
VC1782,Q9KR61,N-ACETYLMANNOSAMINE KINASE,9,DNA binding;DNA-binding transcription factor activity;carbohydrate kinase activity,GO:0003677;GO:0003700;GO:0019200
VC1783,Q9KR60,,,,
VC1784,P0C6E9,SIALIDASE-1,63,hydrolase activity,GO:0016787
VC1785,Q9KR58,,,,
VC1786,Q9KR57,,,,
VC1787,Q9KR56,,,,
VC1788,Q9K2L3,,,,
VC1791,Q9KR55,SUBFAMILY NOT NAMED,5,"",""
VC1792,Q9KR54,,,,
VC1793,Q9KR53,,,,
VC1794,Q9KR52,,,,
VC1795,Q9KR51,SUBFAMILY NOT NAMED,11,"",""
VC1796,Q9KR50,,,,
VC1797,Q9KR49,,,,
VC1798,Q9KR48,,,,
VC1799,Q9KR47,,,,
VC1800,Q9KR46,,,,
VC1801,Q9KR45,,,,
VC1802,Q9KR44,,,,
VC1803,Q9KR43,,,,
VC1804,Q9KR42,,,,
VC1805,Q9KR41,,,,
VC1806,Q9KR40,,,,
VC1808,Q9KR39,,,,
VC1809,Q9KR38,,,,
VC1810,Q9KR37,,,,
VC1811,Q9KR36,SUBFAMILY NOT NAMED,6,"",""
VC1812,Q9KR35,SI:CH73-390P7.2,49,"",""
VC1813,Q9KR34,,,,
VC1814,Q9KR33,CRYPTOCHROME DASH,64,lyase activity;nucleic acid binding,GO:0016829;GO:0003676
VC1815,Q9KR32,ZGC:65997,57,oxidoreductase activity,GO:0016491
VC1816,Q9KR31,,,,
VC1817,Q9KR30,SUBFAMILY NOT NAMED,2,"",""
VC1818,Q9KR29,,,,
VC1819,Q9KR28,,,,
VC1820,Q9KR27,PTS SYSTEM FRUCTOSE-LIKE EIIA COMPONENT,10,"",""
VC1821,Q9KR26,,,,
VC1822,Q9KR25,,,,
VC1823,Q9KR24,,,,
VC1824,Q9KR23,,,,
VC1825,Q9KR22,SUBFAMILY NOT NAMED,6,catalytic activity,GO:0003824
VC1826,Q9KR21,SUBFAMILY NOT NAMED,5,"",""
VC1827,Q9KR20,,,,
VC1828,Q9KR19,,,,
VC1829,Q9KR18,,,,
VC1830,Q9KR17,,,,
VC1831,Q9KR16,,,,
VC1832,Q9KR15,,,,
VC1833,Q9KR14,"QUINOLINATE SYNTHASE, CHLOROPLASTIC",80,"cofactor binding;transferase activity, transferring alkyl or aryl (other than methyl) groups",GO:0048037;GO:0016765
VC1834,Q9KR13,"TETRATRICOPEPTIDE REPEAT DOMAIN-CONTAINING PROTEIN PYG7, CHLOROPLASTIC",55,"",""
VC1835,Q9KR12,PEPTIDOGLYCAN-ASSOCIATED LIPOPROTEIN,25,"",""
VC1836,Q9KR11,TOL-PAL SYSTEM PROTEIN TOLB,24,peptidase activity,GO:0008233
VC1837,Q9KR10,,,,
VC1838,Q9KR09,TOL-PAL SYSTEM PROTEIN TOLR,23,"",""
VC1839,Q9KR08,TOL-PAL SYSTEM PROTEIN TOLQ,15,"",""
VC1840,Q9KR07,ACYL-COA THIOESTER HYDROLASE YBGC,16,"",""
VC1841,Q9KR06,,,,
VC1842,Q9KR05,,,,
VC1843,Q9KR04,,,,
VC1844,Q9KR03,,,,
VC1845,Q9KR02,HOLLIDAY JUNCTION ATP-DEPENDENT DNA HELICASE RUVB,36,DNA helicase activity;nucleic acid binding,GO:0003678;GO:0003676
VC1846,Q9KR01,HOLLIDAY JUNCTION ATP-DEPENDENT DNA HELICASE RUVA,40,"",""
VC1847,Q9KR00,CROSSOVER JUNCTION ENDODEOXYRIBONUCLEASE RUVC,30,endodeoxyribonuclease activity,GO:0004520
VC1848,Q9KQZ9,"CYSTEINE--TRNA LIGASE, CYTOPLASMIC",118,"ATP binding;catalytic activity, acting on RNA;ligase activity",GO:0005524;GO:0140098;GO:0016874
VC1849,Q9KQZ8,,,,
VC1850,Q9KQZ7,"UDP-2,3-DIACYLGLUCOSAMINE HYDROLASE",12,pyrophosphatase activity,GO:0016462
VC1851,Q9KQZ6,,,,
VC1852,Q9KQZ5,,,,
VC1853,Q9KQZ4,,,,
VC1854,Q9KQZ3,,,,
VC1855,Q9KQZ2,ATP-DEPENDENT DNA HELICASE DING,8,"ATP-dependent DNA helicase activity;catalytic activity, acting on RNA;cofactor binding",GO:0004003;GO:0140098;GO:0048037
VC1856,Q9KQZ1,SUBFAMILY NOT NAMED,3,"",""
VC1857,Q9KQZ0,,,,
VC1858,Q9KQY9,,,,
VC1859,Q9KQY8,SUBFAMILY NOT NAMED,13,"",""
VC1860,Q9KQY7,EXODEOXYRIBONUCLEASE III,16,"",""
VC1861,Q9KQY6,SUBFAMILY NOT NAMED,5,"",""
VC1862,Q9KQY5,SUBFAMILY NOT NAMED,2,"",""
VC1863,Q9KQY4,SUBFAMILY NOT NAMED,15,"",""
VC1864,Q9KQY3,SUBFAMILY NOT NAMED,5,"ATPase activity, coupled to transmembrane movement of substances",GO:0042626
VC1865,Q9KQY2,,,,
VC1866,Q9KQY1,,,,
VC1867,Q9KQY0,,,,
VC1868,Q9KQX9,,,,
VC1869,Q9KQX8,PYRUVATE FORMATE-LYASE 1-ACTIVATING ENZYME,15,"",""
VC1870,Q9KQX7,,,,
VC1871,Q9KQX6,,,,
VC1872,Q9KQX5,SUBFAMILY NOT NAMED,18,protein kinase activity,GO:0004672
VC1873,Q9KQX4,UPF0229 PROTEIN YEAH,12,"",""
VC1874,Q9KQX3,SUBFAMILY NOT NAMED,12,"",""
VC1875,Q9KQX2,"3-DEOXY-MANNO-OCTULOSONATE CYTIDYLYLTRANSFERASE, MITOCHONDRIAL",68,nucleotidyltransferase activity,GO:0016779
VC1876,Q9KQX1,ZGC:162634,50,"",""
VC1877,Q9KQX0,"TETRAACYLDISACCHARIDE 4'-KINASE, MITOCHONDRIAL-RELATED",53,"kinase activity;phosphotransferase activity, alcohol group as acceptor",GO:0016301;GO:0016773
VC1878,Q9KQW9,LIPID A EXPORT ATP-BINDING/PERMEASE PROTEIN MSBA,16,"",""
VC1879,Q9KQW8,SUBFAMILY NOT NAMED,39,"",""
VC1880,Q9KQW7,SUBFAMILY NOT NAMED,6,"",""
VC1881,Q9KQW6,,,,
VC1882,Q9KQW5,,,,
VC1883,P57066,LIPOPROTEIN-RELEASING SYSTEM ATP-BINDING PROTEIN LOLD,21,"ATPase activity, coupled to transmembrane movement of substances",GO:0042626
VC1884,Q9KQW4,LIPOPROTEIN-RELEASING SYSTEM TRANSMEMBRANE PROTEIN LOLC,6,"",""
VC1885,Q9KQW3,,,,
VC1886,Q9KQW2,TRANSCRIPTION-REPAIR-COUPLING FACTOR,64,helicase activity;nuclease activity;nucleic acid binding,GO:0004386;GO:0004518;GO:0003676
VC1887,Q9KQW1,,,,
VC1888,Q9KQW0,,,,
VC1889,Q9KQV9,RIBOSOMAL-PROTEIN-SERINE ACETYLTRANSFERASE,10,peptide alpha-N-acetyltransferase activity,GO:0004596
VC1890,Q9KQV8,NADH DEHYDROGENASE,8,oxidoreductase activity,GO:0016491
VC1891,Q9KQV7,,,,
VC1892,Q9KQV6,UPF0227 PROTEIN YCFP,5,"",""
VC1893,Q9KQV5,,,,
VC1894,Q9KQV4,PENICILLIN-BINDING PROTEIN ACTIVATOR LPOB,5,catalytic activity;enzyme regulator activity,GO:0003824;GO:0030234
VC1895,Q9KQV3,,,,
VC1896,Q9KQV2,,,,
VC1897,Q9KQV1,HISTIDINE TRIAD NUCLEOTIDE-BINDING PROTEIN 1,107,phosphatase activity,GO:0016791
VC1898,Q9KQV0,,,,
VC1899,Q9KQU9,,,,
VC1900,Q9KQU8,FATTY ACID METABOLISM REGULATOR PROTEIN,6,transferase activity,GO:0016740
VC1901,Q9KQU7,NA(+)/H(+) ANTIPORTER NHAB,7,sodium ion transmembrane transporter activity;solute:proton antiporter activity,GO:0015081;GO:0015299
VC1902,Q9KQU6,DISULFIDE BOND FORMATION PROTEIN B,7,disulfide oxidoreductase activity,GO:0015036
VC1903,Q84I33,DNA TRANSLOCASE FTSK,38,nucleic acid binding,GO:0003676
VC1904,Q9KQU4,,,,
VC1905,Q9KQU3,SUBFAMILY NOT NAMED,25,"",""
VC1906,Q9KQU2,GLUTATHIONE S-TRANSFERASE C-TERMINAL DOMAIN-CONTAINING PROTEIN,36,"",""
VC1907,Q9KQU1,HTH-TYPE TRANSCRIPTIONAL REGULATOR CYSB-RELATED,10,"",""
VC1908,Q9KQU0,,,,
VC1909,Q9KQT9,,,,
VC1910,Q9KQT8,SUBFAMILY NOT NAMED,5,"",""
VC1911,Q9KQT7,OROTIDINE 5'-PHOSPHATE DECARBOXYLASE,57,lyase activity,GO:0016829
VC1912,Q9KQT6,SUBFAMILY NOT NAMED,34,"",""
VC1913,Q9KQT5,,,,
VC1914,Q9KQT4,INTEGRATION HOST FACTOR SUBUNIT BETA,14,DNA binding,GO:0003677
VC1915,Q9KQT3,"30S RIBOSOMAL PROTEIN S1, CHLOROPLASTIC",96,mRNA binding;structural constituent of ribosome,GO:0003729;GO:0003735
VC1916,Q9KQT2,CYTIDYLATE KINASE,35,"kinase activity;ligase activity;phosphotransferase activity, phosphate group as acceptor",GO:0016301;GO:0016874;GO:0016776
VC1917,Q9KQT1,ENDONUCLEASE/EXONUCLEASE/PHOSPHATASE FAMILY DOMAIN-CONTAINING PROTEIN 1,63,"",""
VC1918,Q9KQT0,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE D,19,"",""
VC1919,Q9KQS9,DNA-BINDING PROTEIN HU-BETA,52,DNA binding,GO:0003677
VC1920,Q9KQS8,LON PROTEASE,19,"",""
VC1921,Q9KQS7,"ATP-DEPENDENT CLP PROTEASE ATP-BINDING SUBUNIT CLPX-LIKE, MITOCHONDRIAL",137,"ATP binding;ATPase activity, coupled;peptidase activity, acting on L-amino acid peptides",GO:0005524;GO:0042623;GO:0070011
VC1922,Q9KQS6,"ATP-DEPENDENT CLP PROTEASE PROTEOLYTIC SUBUNIT 5, CHLOROPLASTIC",100,"ATPase activity, coupled;enzyme binding;serine-type endopeptidase activity",GO:0042623;GO:0019899;GO:0004252
VC1923,Q9KQS5,"TRIGGER FACTOR-LIKE PROTEIN TIG, CHLOROPLASTIC",78,"catalytic activity, acting on a protein;protein binding;ribosome binding",GO:0140096;GO:0005515;GO:0043022
VC1924,Q9KQS4,,,,
VC1925,Q9KQS3,,,,
VC1926,Q9KQS2,,,,
VC1927,Q9KQS1,SUBFAMILY NOT NAMED,10,"",""
VC1928,Q9KQS0,"2,3-DIKETO-L-GULONATE TRAP TRANSPORTER SMALL PERMEASE PROTEIN YIAM",16,"",""
VC1929,Q9KQR9,SUBFAMILY NOT NAMED,10,"",""
VC1930,Q9KQR8,,,,
VC1931,Q9KQR7,UPF0061 PROTEIN FMP40,63,"",""
VC1932,Q9KQR6,,,,
VC1933,Q9KQR5,,,,
VC1934,Q9KQR4,,,,
VC1935,Q9KQR3,,,,
VC1936,Q9KQR2,SUBFAMILY NOT NAMED,10,"",""
VC1937,Q9KQR1,SUBFAMILY NOT NAMED,8,"",""
VC1938,Q9KQR0,SUBFAMILY NOT NAMED,5,"",""
VC1939,Q9KQQ9,SUBFAMILY NOT NAMED,2,L-amino acid transmembrane transporter activity;neutral amino acid transmembrane transporter activity,GO:0015179;GO:0015175
VC1940,Q9KQQ8,SUBFAMILY NOT NAMED,5,"",""
VC1941,Q9KQQ7,SUBFAMILY NOT NAMED,9,"",""
VC1942,Q9KQQ6,"METHYLENETETRAHYDROFOLATE DEHYDROGENASE (NADP+-DEPENDENT) 1A, METHENYLTETRAHYDROFOLATE CYCLOHYDROLASE, FORMYLTETRAHYDROFOLATE SYNTHETASE",104,"hydrolase activity, acting on carbon-nitrogen ;oxidoreductase activity",GO:0016810;GO:0016491
VC1943,Q9KQQ5,,,,
VC1944,Q9KQQ4,,,,
VC1945,Q9KQQ3,SUBFAMILY NOT NAMED,10,"",""
VC1946,Q9KQQ2,,,,
VC1947,Q9KQQ1,SUBFAMILY NOT NAMED,6,DNA-binding transcription factor activity;sequence-specific DNA binding,GO:0003700;GO:0043565
VC1948,Q9KQQ0,,,,
VC1949,Q9KQP9,,,,
VC1950,Q9KQP8,TRIMETHYLAMINE-N-OXIDE REDUCTASE 2,17,"",""
VC1951,Q9KQP7,CYTOCHROME C-TYPE PROTEIN TORY,4,electron transfer activity,GO:0009055
VC1952,Q9KQP6,,,,
VC1953,Q9KQP5,,,,
VC1954,Q9KQP4,,,,
VC1955,Q9KQP3,SUBFAMILY NOT NAMED,2,DNA-binding transcription factor activity;sequence-specific DNA binding,GO:0003700;GO:0043565
VC1956,Q9KQP2,SUBFAMILY NOT NAMED,16,"transferase activity, transferring glycosyl groups",GO:0016757
VC1957,Q9KQP1,PROTEIN YCGL,8,"",""
VC1958,Q9KQP0,,,,
VC1959,Q9KQN9,SEPTUM SITE-DETERMINING PROTEIN MINC,26,"",""
VC1960,Q9KQN8,"SEPTUM SITE-DETERMINING PROTEIN MIND HOMOLOG, CHLOROPLASTIC-RELATED",89,ATP binding;ATPase activity,GO:0005524;GO:0016887
VC1961,Q9KQN7,"CELL DIVISION TOPOLOGICAL SPECIFICITY FACTOR HOMOLOG, CHLOROPLASTIC",68,"",""
VC1962,Q9KQN6,,,,
VC1963,Q9KQN5,,,,
VC1964,Q9KQN4,SUBFAMILY NOT NAMED,5,"",""
VC1965,Q9KQN3,,,,
VC1966,Q9KQN2,SUBFAMILY NOT NAMED,5,"",""
VC1967,Q9KQN1,,,,
VC1968,Q9KQN0,HTH-TYPE TRANSCRIPTIONAL REGULATOR SUTR,5,"",""
VC1969,Q9KQM9,,,,
VC1970,Q9KQM8,INNER MEMBRANE PROTEIN YDCO,7,"",""
VC1971,Q9KQM7,2-SUCCINYLBENZOATE--COA LIGASE,6,ligase activity;transporter activity,GO:0016874;GO:0005215
VC1972,Q9KQM6,O-SUCCINYLBENZOATE SYNTHASE,61,hydro-lyase activity,GO:0016836
VC1973,Q9KQM5,"1,4-DIHYDROXY-2-NAPHTHOYL-COA SYNTHASE, PEROXISOMAL",54,lyase activity,GO:0016829
VC1974,Q9KQM4,MESODERM-SPECIFIC TRANSCRIPT PROTEIN,97,"",""
VC1975,Q9KQM3,"PROTEIN PHYLLO, CHLOROPLASTIC",54,lyase activity;oxidoreductase activity;transferase activity,GO:0016829;GO:0016491;GO:0016740
VC1976,Q9KQM2,"ISOCHORISMATE SYNTHASE 2, CHLOROPLASTIC",40,"",""
VC1977,Q9KQM1,GLUTAMATE-PYRUVATE AMINOTRANSFERASE ALAA,17,transferase activity,GO:0016740
VC1978,Q9KQM0,HD DOMAIN-CONTAINING PROTEIN 2,118,"",""
VC1979,Q9KQL9,,,,
VC1980,Q9KQL8,DTW DOMAIN-CONTAINING PROTEIN 2,78,"",""
VC1981,Q9KQL7,,,,
VC1982,Q9KQL6,,,,
VC1983,Q9KQL5,SUBFAMILY NOT NAMED,7,metalloendopeptidase activity,GO:0004222
VC1984,Q9KQL4,RIBONUCLEASE D,13,nuclease activity;nucleic acid binding,GO:0004518;GO:0003676
VC1985,Q9KQL3,,,,
VC1986,Q9KQL2,SERINE HYDROLASE-LIKE PROTEIN-RELATED,100,"",""
VC1987,Q9KQL1,OUTER MEMBRANE PROTEIN SLP,10,"",""
VC1988,Q9KQL0,,,,
VC1989,Q9KQK9,TRNA THREONYLCARBAMOYLADENOSINE BIOSYNTHESIS PROTEIN TSAB,31,"",""
VC1990,Q9KQK8,ATP-DEPENDENT DNA HELICASE YOAA-RELATED,18,ATP-dependent DNA helicase activity,GO:0004003
VC1991,Q9KQK7,,,,
VC1992,Q9KQK6,"FORMYLTETRAHYDROFOLATE DEFORMYLASE 1, MITOCHONDRIAL",72,hydrolase activity;ligase activity;transferase activity,GO:0016787;GO:0016874;GO:0016740
VC1993,Q9KQK5,"2,4-DIENOYL-COA REDUCTASE",19,"",""
VC1994,Q9KQK4,"SERINE PROTEASE SPPA, CHLOROPLASTIC",81,"",""
VC1995,Q9KQK3,60 KDA LYSOPHOSPHOLIPASE,86,"",""
VC1996,Q9KQK2,,,,
VC1997,Q9KQK1,,,,
VC1998,Q9KQK0,,,,
VC1999,Q9KQJ9,,,,
VC2000,Q9KQJ8,GLYCERALDEHYDE-3-PHOSPHATE DEHYDROGENASE-RELATED,224,"hydro-lyase activity;intramolecular transferase activity;kinase activity;oxidoreductase activity;phosphotransferase activity, alcohol group as acceptor",GO:0016836;GO:0016866;GO:0016301;GO:0016491;GO:0016773
VC2001,Q9KQJ7,GLUCOSE-6-PHOSPHATE 1-EPIMERASE,121,"",""
VC2002,Q9KQJ6,,,,
VC2003,Q9KQJ5,23S RRNA (GUANINE(745)-N(1))-METHYLTRANSFERASE,7,methyltransferase activity,GO:0008168
VC2004,Q9KQJ4,SUBFAMILY NOT NAMED,7,"",""
VC2005,Q9KQJ3,,,,
VC2006,Q9KQJ2,SUBFAMILY NOT NAMED,4,"",""
VC2007,Q9KQJ1,BIFUNCTIONAL UDP-N-ACETYLGLUCOSAMINE 2-EPIMERASE/N-ACETYLMANNOSAMINE KINASE,61,DNA binding;DNA-binding transcription factor activity;carbohydrate kinase activity,GO:0003677;GO:0003700;GO:0019200
VC2008,Q9KQJ0,,,,
VC2009,Q9KQI9,SUBFAMILY NOT NAMED,9,"",""
VC2010,Q9KQI8,,,,
VC2011,Q9KQI7,,,,
VC2012,Q9KQI6,SODIUM-DEPENDENT DOPAMINE TRANSPORTER,45,"",""
VC2013,Q9KQI5,PTS SYSTEM GLUCOSE-SPECIFIC EIICB COMPONENT,6,"",""
VC2014,Q9KQI4,,,,
VC2015,Q9KQI3,DNA POLYMERASE III SUBUNIT DELTA',21,"",""
VC2016,Q9KQI2,THYMIDYLATE KINASE,157,"kinase activity;phosphotransferase activity, phosphate group as acceptor",GO:0016301;GO:0016776
VC2017,Q9KQI1,ENDOLYTIC MUREIN TRANSGLYCOSYLASE,30,"",""
VC2018,Q9KQI0,AMINODEOXYCHORISMATE LYASE,7,lyase activity;transferase activity,GO:0016829;GO:0016740
VC2019,Q9KQH9,"3-OXOACYL-[ACYL-CARRIER-PROTEIN] SYNTHASE, MITOCHONDRIAL",149,"",""
VC2020,Q9KQH8,ACYL CARRIER PROTEIN,46,amide binding;anion binding;cofactor binding;small molecule binding,GO:0033218;GO:0043168;GO:0048037;GO:0036094
VC2021,Q9KQH7,3-OXOACYL-[ACYL-CARRIER-PROTEIN] REDUCTASE FABG,12,"",""
VC2022,Q9KQH6,MALONYL COA-ACYL CARRIER PROTEIN TRANSACYLASE,35,"",""
VC2023,Q9KQH5,"3-OXOACYL-[ACYL-CARRIER-PROTEIN] SYNTHASE III, CHLOROPLASTIC",85,"",""
VC2024,Q9KQH4,PHOSPHATE ACYLTRANSFERASE,30,"",""
VC2025,Q9KQH3,50S RIBOSOMAL PROTEIN L32,16,"",""
VC2026,Q9KQH2,LARGE RIBOSOMAL RNA SUBUNIT ACCUMULATION PROTEIN YCED,9,"",""
VC2027,Q9KQH1,N-ACETYLSEROTONIN O-METHYLTRANSFERASE-LIKE PROTEIN,95,"",""
VC2028,Q9KQH0,RIBOSOMAL LARGE SUBUNIT PSEUDOURIDINE SYNTHASE C,10,intramolecular transferase activity,GO:0016866
VC2029,Q9KQG9,,,,
VC2030,Q9KQG8,"RIBONUCLEASE E/G-LIKE PROTEIN, CHLOROPLASTIC",50,"",""
VC2031,Q9KQG7,SUBFAMILY NOT NAMED,18,transmembrane transporter activity,GO:0022857
VC2032,Q9KQG6,SUBFAMILY NOT NAMED,3,"",""
VC2033,Q9KQG5,ALDEHYDE-ALCOHOL DEHYDROGENASE,29,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",GO:0016616
VC2034,Q9KQG4,,,,
VC2035,Q9KQG3,UPF0056 MEMBRANE PROTEIN YHCE,30,"",""
VC2036,Q9KQG2,ASPARTATE-SEMIALDEHYDE DEHYDROGENASE,8,"",""
VC2037,Q9KQG1,SUBFAMILY NOT NAMED,3,"",""
VC2038,Q9KQG0,,,,
VC2039,Q9KQF9,NUCLEOID-ASSOCIATED PROTEIN YEJK,7,double-stranded DNA binding;single-stranded RNA binding,GO:0003690;GO:0003727
VC2040,Q9KQF8,,,,
VC2041,Q9KQF7,INNER MEMBRANE PROTEIN YEJM,7,"",""
VC2042,Q9KQF6,HISTONE DEACETYLASE 12,17,hydrolase activity;nucleic acid binding;oxidoreductase activity,GO:0016787;GO:0003676;GO:0016491
VC2043,Q9KQF5,DNA TOPOISOMERASE 3-ALPHA,124,"",""
VC2044,Q9KQF4,"MONOTHIOL GLUTAREDOXIN-5, MITOCHONDRIAL",60,"",""
VC2045,Q9KQF3,"SUPEROXIDE DISMUTASE [FE] 2, CHLOROPLASTIC",78,oxidoreductase activity,GO:0016491
VC2046,Q9KQF2,,,,
VC2047,Q9KQF1,,,,
VC2048,Q9KQF0,PHOSPHOLIPID-BINDING LIPOPROTEIN MLAA-RELATED,12,"",""
VC2051,Q9KQE9,THIOL:DISULFIDE INTERCHANGE PROTEIN DSBE,73,oxidoreductase activity,GO:0016491
VC2052,Q9KQE8,CYTOCHROME C BIOGENESIS CCMF N-TERMINAL-LIKE MITOCHONDRIAL PROTEIN 1,61,"",""
VC2053,Q9KQE7,"CYTOCHROME C-TYPE BIOGENESIS PROTEIN CCME HOMOLOG, MITOCHONDRIAL",48,"",""
VC2054,Q9KQE6,HEME EXPORTER PROTEIN D,8,"",""
VC2055,Q9KQE5,CYTOCHROME C BIOSYNTHESIS CCMC-LIKE MITOCHONDRIAL PROTEIN-RELATED,19,"",""
VC2056,Q9KQE4,CYTOCHROME C BIOGENESIS CCMB-LIKE MITOCHONDRIAL PROTEIN-RELATED,34,"",""
VC2057,Q9KQE3,ABC TRANSPORTER I FAMILY MEMBER 1,53,"ATPase activity, coupled to transmembrane movement of substances",GO:0042626
VC2058,Q9KQE2,,,,
VC2059,Q9KQE1,,,,
VC2060,Q9KQE0,,,,
VC2061,Q9KQD9,SUBFAMILY NOT NAMED,4,"",""
VC2062,Q9KQD8,,,,
VC2063,Q9KQD7,,,,
VC2064,Q9KQD6,PROTEIN PHOSPHATASE CHEZ,17,kinase activity,GO:0016301
VC2065,Q9KQD5,,,,
VC2066,Q9KQD4,RNA POLYMERASE SIGMA FACTOR FLIA,24,"",""
VC2067,Q9KQD3,SUBFAMILY NOT NAMED,17,ATP binding;ATPase activity,GO:0005524;GO:0016887
VC2068,Q9KQD2,SUBFAMILY NOT NAMED,14,GTPase activity;ribonucleoprotein complex binding,GO:0003924;GO:0043021
VC2069,Q9KQD1,FLAGELLAR BIOSYNTHESIS PROTEIN FLHA-RELATED,21,transmembrane transporter activity,GO:0022857
VC2070,Q9KQD0,PHOSPHOHISTIDINE PHOSPHATASE SIXA,11,"",""
VC2071,Q9KQC9,,,,
VC2072,Q9KQC8,INSULIN-DEGRADING ENZYME,144,"",""
VC2073,Q9KQC7,DIHYDROXYBIPHENYL DIOXYGENASE DOMAIN-CONTAINING PROTEIN,8,"",""
VC2074,Q9KQC6,"ARGININE--TRNA LIGASE, MITOCHONDRIAL-RELATED",101,"catalytic activity, acting on RNA;ligase activity",GO:0140098;GO:0016874
VC2075,Q9KQC5,,,,
VC2076,Q9KQC4,,,,
VC2077,Q9KQC3,FE(2+) TRANSPORTER FEOB,37,iron ion transmembrane transporter activity,GO:0005381
VC2078,Q9KQC2,FE(2+) TRANSPORT PROTEIN A,21,"",""
VC2079,Q9KQC1,,,,
VC2080,Q9KQC0,,,,
VC2081,Q9KQB9,HIGH-AFFINITY ZINC UPTAKE SYSTEM PROTEIN ZNUA,29,"",""
VC2082,Q9KQB8,ZINC IMPORT ATP-BINDING PROTEIN ZNUC,7,"",""
VC2083,Q9KQB7,HIGH-AFFINITY ZINC UPTAKE SYSTEM MEMBRANE PROTEIN ZNUB,18,"",""
VC2084,Q9KQB6,"SUCCINATE--COA LIGASE [ADP/GDP-FORMING] SUBUNIT ALPHA, MITOCHONDRIAL",159,"kinase activity;ligase activity, forming carbon-sulfur bonds;phosphotransferase activity, phosphate group as acceptor",GO:0016301;GO:0016877;GO:0016776
VC2085,Q9KQB5,"SUCCINATE--COA LIGASE [ADP-FORMING] SUBUNIT BETA, MITOCHONDRIAL",93,"",""
VC2086,Q9KQB4,"DIHYDROLIPOYLLYSINE-RESIDUE SUCCINYLTRANSFERASE COMPONENT OF 2-OXOGLUTARATE DEHYDROGENASE COMPLEX, MITOCHONDRIAL",132,acetyltransferase activity,GO:0016407
VC2087,Q9KQB3,GH27234P-RELATED,80,"",""
VC2088,Q9KQB2,SUCCINATE DEHYDROGENASE IRON-SULFUR SUBUNIT,23,"",""
VC2089,Q9KQB1,"SUCCINATE DEHYDROGENASE [UBIQUINONE] FLAVOPROTEIN SUBUNIT, MITOCHONDRIAL",151,"",""
VC2090,Q9KQB0,SUCCINATE DEHYDROGENASE HYDROPHOBIC MEMBRANE ANCHOR SUBUNIT,9,electron transfer activity;heme binding,GO:0009055;GO:0020037
VC2091,Q9KQA9,"SUCCINATE DEHYDROGENASE CYTOCHROME B560 SUBUNIT, MITOCHONDRIAL",82,"",""
VC2092,Q9KQA8,CITRATE SYNTHASE,41,lyase activity;transferase activity,GO:0016829;GO:0016740
VC2093,Q9KQA7,NIF3-LIKE PROTEIN 1,80,"",""
VC2094,Q9KQA6,,,,
VC2095,Q9KQA5,PHOSPHOGLUCOMUTASE,4,intramolecular transferase activity,GO:0016866
VC2096,Q9KQA4,,,,
VC2097,Q9KQA3,PROTEIN ABHD11,54,"",""
VC2098,Q9KQA2,,,,
VC2099,Q9KQA1,FLAVODOXIN 1,6,"",""
VC2100,Q9KQA0,SUBFAMILY NOT NAMED,4,"",""
VC2101,Q9KQ99,SUBFAMILY NOT NAMED,12,"",""
VC2102,Q9KQ98,,,,
VC2103,Q9KQ97,SUBFAMILY NOT NAMED,4,proximal promoter sequence-specific DNA binding,GO:0000987
VC2104,Q9KQ96,,,,
VC2105,Q9KQ95,,,,
VC2106,P0C6C8,FERRIC UPTAKE REGULATION PROTEIN,23,DNA-binding transcription factor activity;transcription regulatory region DNA binding;zinc ion binding,GO:0003700;GO:0044212;GO:0008270
VC2107,P23247,USG-1 PROTEIN,73,"",""
VC2108,Q9KQ92,ERYTHRONATE-4-PHOSPHATE DEHYDROGENASE,8,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",GO:0016616
VC2110,Q9KQ91,TRNA 5-METHYLAMINOMETHYL-2-THIOURIDINE BIOSYNTHESIS BIFUNCTIONAL PROTEIN MNMC,8,oxidoreductase activity,GO:0016491
VC2111,Q9KQ90,QUINONE REDUCTASE,20,anion binding;cofactor binding;oxidoreductase activity;ribonucleotide binding,GO:0043168;GO:0048037;GO:0016491;GO:0032553
VC2112,Q9KQ89,,,,
VC2113,Q9KQ88,,,,
VC2114,Q9KQ87,,,,
VC2115,Q9KQ86,UPF0126 INNER MEMBRANE PROTEIN YICG,8,"",""
VC2116,Q9KQ85,CHORISMATE SYNTHASE,109,anion binding;carbon-oxygen lyase activity;cofactor binding;ribonucleotide binding,GO:0043168;GO:0016835;GO:0048037;GO:0032553
VC2117,Q9KQ84,,,,
VC2118,Q9KQ83,50S RIBOSOMAL PROTEIN L3 GLUTAMINE METHYLTRANSFERASE,10,S-adenosylmethionine-dependent methyltransferase activity;protein methyltransferase activity,GO:0008757;GO:0008276
VC2119,Q9KQ82,UPF0115 PROTEIN YFCN,6,"",""
VC2120,Q9KQ81,FLAGELLAR BIOSYNTHETIC PROTEIN FLHB,11,"",""
VC2121,Q9KQ80,FLAGELLAR BIOSYNTHETIC PROTEIN FLIR,21,"",""
